,continent,region,population,government_form,capital
222,South America,South America,3337000,Republic,3492.0
223,North America,North America,278357000,Federal Republic,3813.0
224,Asia,Southern and Central Asia,24318000,Republic,3503.0
225,Europe,Southern Europe,1000,Independent Church State,3538.0
226,North America,Caribbean,114000,Constitutional Monarchy,3066.0
227,South America,South America,24170000,Federal Republic,3539.0
228,North America,Caribbean,21000,Dependent Territory of the uK,537.0
229,North America,Caribbean,93000,uS Territory,4067.0
230,Asia,Southeast Asia,79832000,Socialistic Republic,3770.0
231,Oceania,Melanesia,190000,Republic,3537.0
232,Oceania,Polynesia,15000,Nonmetropolitan Territory of France,3536.0
233,Oceania,Polynesia,180000,Parlementary Monarchy,3169.0
234,Asia,Middle East,18112000,Republic,1780.0
235,Europe,Southern Europe,10640000,Federal Republic,1792.0
236,Africa,Southern Africa,40377000,Republic,716.0
237,Africa,Eastern Africa,9169000,Republic,3162.0
238,Africa,Eastern Africa,11669000,Republic,4068.0
